1,3M,ELHFLL,,CAR-USA,2023-06,ADD,0.7,1.1,0.4,46,75,29.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-06,ADD,0.3,0.4,0.2,15,27,12.0,0.8,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-06,ADD,0.9,1.1,0.3,61,79,18.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-06,ADD,0.6,1,0.4,32,63,31.0,1.0,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-06,ADD,-,-,-,-,-,177.0,0.5,2023-02-26,2023-03-05,
1,3M,DOMSJU,,CAR-CAR,2023-07,NEW,0.0,0.1,0.1,0,5,5.0,1.0,2023-02-26,2023-03-05,1.0
1,3M,BIMFLL,,CAR-USA,2023-07,ADD,0.2,0.6,0.4,7,34,27.0,3.9,2023-02-26,2023-03-05,2.0
1,3M,EISSJU,,CAR-CAR,2023-07,ADD,1,1.1,0.1,47,50,3.0,0.1,2023-02-26,2023-03-05,2.0
1,3M,ELHFLL,,CAR-USA,2023-07,ADD,0.7,1.2,0.4,49,78,29.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-07,ADD,0.3,0.5,0.1,19,28,9.0,0.5,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-07,ADD,0.9,1.2,0.3,63,81,18.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-07,ADD,0.6,1,0.4,36,65,29.0,0.8,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-07,ADD,-,-,-,-,-,120.0,0.4,2023-02-26,2023-03-05,
1,3M,BIMFLL,,CAR-USA,2023-08,ADD,0.1,0.3,0.2,6,18,12.0,2.0,2023-02-26,2023-03-05,2.0
1,3M,ELHFLL,,CAR-USA,2023-08,ADD,0.7,0.9,0.2,46,62,16.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-08,ADD,0.3,0.3,0.1,15,19,4.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-08,ADD,0.8,1,0.2,56,68,12.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-08,ADD,0.5,0.7,0.2,28,42,14.0,0.5,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-08,ADD,-,-,-,-,-,58.0,0.3,2023-02-26,2023-03-05,
3,3M,,,,2049-12,,,,,,,,,,,
1,3P,LISPUJ,,CAR-EUR,2023-06,ADD,0.1,0.3,0.1,42,84,42.0,1.0,2023-02-26,2023-03-05,2.0
2,3P,TOTAL,,,2023-06,ADD,-,-,-,-,-,42.0,0.3,2023-02-26,2023-03-05,
1,3P,LISPUJ,,CAR-EUR,2023-07,ADD,0.2,0.3,0.1,51,91,40.0,0.8,2023-02-26,2023-03-05,2.0
2,3P,TOTAL,,,2023-07,ADD,-,-,-,-,-,40.0,0.2,2023-02-26,2023-03-05,
1,3P,LISPUJ,,CAR-EUR,2023-08,ADD,0.1,0.3,0.2,41,91,50.0,1.2,2023-02-26,2023-03-05,2.0
2,3P,TOTAL,,,2023-08,ADD,-,-,-,-,-,50.0,0.3,2023-02-26,2023-03-05,
1,3P,LISPUJ,,CAR-EUR,2023-09,ADD,0.1,0.3,0.1,42,84,42.0,1.0,2023-02-26,2023-03-05,2.0
2,3P,TOTAL,,,2023-09,ADD,-,-,-,-,-,42.0,0.3,2023-02-26,2023-03-05,
3,3P,,,,2049-12,,,,,,,,,,,
1,4J,AUABON,,CAR-CAR,2023-04,RDC,0.2,0.1,-0.1,16,11,-5.0,-0.3,2023-02-26,2023-03-05,3.0
1,4J,AUACUR,,CAR-CAR,2023-04,RDC,0.4,0.1,-0.3,32,11,-21.0,-0.7,2023-02-26,2023-03-05,3.0
1,4J,CURPBM,,CAR-SUD,2023-04,RDC,0.4,0.3,-0.1,35,24,-11.0,-0.3,2023-02-26,2023-03-05,3.0
2,4J,TOTAL,,,2023-04,RDC,-,-,-,-,-,-37.0,-0.2,2023-02-26,2023-03-05,
3,4J,,,,2049-12,,,,,,,,,,,
1,5R,BLACCS,,SUD-SUD,2023-04,NEW,0.0,0.1,0.1,0,18,18.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,BRMCCS,,SUD-SUD,2023-04,NEW,0.0,0.1,0.1,0,18,18.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,BRMSDQ,,CAR-SUD,2023-04,NEW,0.0,0.1,0.1,0,18,18.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CBLCCS,,SUD-SUD,2023-04,NEW,0.0,0.2,0.2,0,23,23.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CCSMAR,,SUD-SUD,2023-04,NEW,0.0,0.4,0.4,0,57,57.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CCSPMV,,SUD-SUD,2023-04,NEW,0.0,0.6,0.6,0,77,77.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CCSPUJ,,CAR-SUD,2023-04,NEW,0.0,0.3,0.3,0,41,41.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CCSPZO,,SUD-SUD,2023-04,NEW,0.0,0.7,0.7,0,97,97.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,CCSSTD,,SUD-SUD,2023-04,NEW,0.0,1,1,0,136,136.0,1.0,2023-02-26,2023-03-05,1.0
1,5R,MARSDQ,,CAR-SUD,2023-04,NEW,0.0,0.3,0.3,0,36,36.0,1.0,2023-02-26,2023-03-05,1.0
2,5R,TOTAL,,,2023-04,ADD,-,-,-,-,-,521.0,0.0,2023-02-26,2023-03-05,
3,5R,,,,2049-12,,,,,,,,,,,
1,5U,FRSGUA,,CAM-CAM,2023-04,ADD,6,6.1,0.1,396,406,10.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,GUAMID,,CAM-LOC,2023-04,ADD,0.6,0.7,0.1,19,25,6.0,0.3,2023-02-26,2023-03-05,2.0
1,5U,GUAPBR,,CAM-CAM,2023-04,ADD,1.8,1.8,0.1,33,34,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,GUARER,,CAM-CAM,2023-04,ADD,1,1.1,0.1,10,11,1.0,0.1,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-04,RDC,1,1,0.0,37,36,-1.0,0.0,2023-02-26,2023-03-05,3.0
2,5U,TOTAL,,,2023-04,ADD,-,-,-,-,-,17.0,0.0,2023-02-26,2023-03-05,
1,5U,GUAPBR,,CAM-CAM,2023-05,ADD,1.8,1.9,0.1,34,35,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-05,RDC,1,1,0.0,36,35,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,5U,GUAPBR,,CAM-CAM,2023-06,ADD,1.8,1.9,0.1,33,34,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-06,RDC,1,1,0.0,36,35,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,5U,GUAPBR,,CAM-CAM,2023-07,ADD,1.8,1.8,0.1,33,34,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-07,RDC,1,1,0.0,37,35,-2.0,-0.1,2023-02-26,2023-03-05,3.0
2,5U,TOTAL,,,2023-07,RDC,-,-,-,-,-,-1.0,0.0,2023-02-26,2023-03-05,
1,5U,GUAPBR,,CAM-CAM,2023-08,ADD,1.8,1.9,0.1,34,35,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-08,RDC,1,1,0.0,36,35,-1.0,0.0,2023-02-26,2023-03-05,3.0
1,5U,GUAPBR,,CAM-CAM,2023-09,ADD,1.8,1.9,0.1,33,34,1.0,0.0,2023-02-26,2023-03-05,2.0
1,5U,BZEGUA,,CAM-CAM,2023-09,RDC,1,1,0.0,37,35,-2.0,-0.1,2023-02-26,2023-03-05,3.0
2,5U,TOTAL,,,2023-09,RDC,-,-,-,-,-,-1.0,0.0,2023-02-26,2023-03-05,
1,5U,BZEGUA,,CAM-CAM,2023-10,RDC,1,1,0.0,36,35,-1.0,0.0,2023-02-26,2023-03-05,3.0
2,5U,TOTAL,,,2023-10,RDC,-,-,-,-,-,-1.0,0.0,2023-02-26,2023-03-05,
3,5U,,,,2049-12,,,,,,,,,,,
1,9N,BZESAL,,CAM-CAM,2023-04,RDC,0.6,0.6,0.0,12,11,-1.0,-0.1,2023-02-26,2023-03-05,3.0
2,9N,TOTAL,,,2023-04,RDC,-,-,-,-,-,-1.0,0.0,2023-02-26,2023-03-05,
3,9N,,,,2049-12,,,,,,,,,,,
1,AA,MEXMIA,Y,LOC-USA,2023-04,RDC,3,2.8,-0.2,499,470,-29.0,-0.1,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-04,RDC,-,-,-,-,-,-29.0,0.0,2023-02-26,2023-03-05,
1,AA,MEXMIA,Y,LOC-USA,2023-05,ADD,3,3,0.0,504,514,10.0,0.0,2023-02-26,2023-03-05,2.0
2,AA,TOTAL,,,2023-05,ADD,-,-,-,-,-,10.0,0.0,2023-02-26,2023-03-05,
1,AA,MGAMIA,,CAM-USA,2023-06,RDC,2,1,-1,320,160,-160.0,-0.5,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-06,RDC,-,-,-,-,-,-160.0,0.0,2023-02-26,2023-03-05,
1,AA,MGAMIA,,CAM-USA,2023-07,RDC,2,1.9,-0.1,320,299,-21.0,-0.1,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-07,RDC,-,-,-,-,-,-21.0,0.0,2023-02-26,2023-03-05,
1,AA,MGAMIA,,CAM-USA,2023-08,ADD,1.5,2,0.5,232,317,85.0,0.4,2023-02-26,2023-03-05,2.0
1,AA,MDEMIA,,SUD-USA,2023-08,RDC,2.5,2,-0.5,432,344,-88.0,-0.2,2023-02-26,2023-03-05,3.0
2,AA,TOTAL,,,2023-08,RDC,-,-,-,-,-,-3.0,0.0,2023-02-26,2023-03-05,
1,AA,AUAMIA,,CAR-USA,2023-09,ADD,1.2,2,0.8,189,322,133.0,0.7,2023-02-26,2023-03-05,2.0
1,AA,MGAMIA,,CAM-USA,2023-09,ADD,1,2,1,160,320,160.0,1.0,2023-02-26,2023-03-05,2.0
1,AA,ANUJFK,,CAR-USA,2023-09,RDC,1,0.2,-0.8,172,29,-143.0,-0.8,2023-02-26,2023-03-05,3.0
1,AA,CLTGCM,,CAR-USA,2023-09,RDC,1,1,0.0,187,165,-22.0,-0.1,2023-02-26,2023-03-05,3.0
1,AA,CLTSXM,,CAR-USA,2023-09,RDC,1,0.3,-0.7,128,38,-90.0,-0.7,2023-02-26,2023-03-05,3.0
1,AA,DFWGCM,,CAR-USA,2023-09,RDC,0.2,0.0,-0.1,27,5,-22.0,-0.8,2023-02-26,2023-03-05,3.0
1,AA,GCMMIA,,CAR-USA,2023-09,RDC,2,1.2,-0.8,320,187,-133.0,-0.4,2023-02-26,2023-03-05,3.0
1,AA,MDEMIA,,SUD-USA,2023-09,RDC,3,2,-1,504,344,-160.0,-0.3,2023-02-26,2023-03-05,3.0
1,AA,MIASTI,,CAR-USA,2023-09,RDC,2,1.2,-0.8,320,187,-133.0,-0.4,2023-02-26,2023-03-05,3.0
